graph,query_id,query_length,hops,threshold,min_k,n_seed_nodes,n_above_threshold,subgraph_nodes,subgraph_edges,total_claims,supported,partial,unsupported,gf_strict,gf_weighted,parse_error
gpt-4o-mini,CQ1,95,2,0.45,10,10,2,186,285,4,3,1,0,0.75,0.875,
gpt-4o-mini,CQ1,95,2,0.5,10,10,0,186,285,5,3,2,0,0.6,0.8,
gpt-4o-mini,CQ1,95,2,0.55,10,10,0,186,285,4,3,1,0,0.75,0.875,
gpt-4o-mini,CQ1,95,2,0.6,10,10,0,186,285,4,3,1,0,0.75,0.875,
gpt-4o-mini,CQ1,95,2,0.65,10,10,0,186,285,4,3,1,0,0.75,0.875,
gpt-4o-mini,CQ3,90,2,0.45,10,10,0,144,216,2,2,0,0,1.0,1.0,
gpt-4o-mini,CQ3,90,2,0.5,10,10,0,144,216,2,1,0,1,0.5,0.5,
gpt-4o-mini,CQ3,90,2,0.55,10,10,0,144,216,3,3,0,0,1.0,1.0,
gpt-4o-mini,CQ3,90,2,0.6,10,10,0,144,216,2,1,0,1,0.5,0.5,
gpt-4o-mini,CQ3,90,2,0.65,10,10,0,144,216,2,2,0,0,1.0,1.0,
gpt-4o-mini,CQ7,105,2,0.45,10,10,1,292,527,1,0,0,1,0.0,0.0,
gpt-4o-mini,CQ7,105,2,0.5,10,10,1,292,527,1,0,0,1,0.0,0.0,
gpt-4o-mini,CQ7,105,2,0.55,10,10,0,292,527,1,0,0,1,0.0,0.0,
gpt-4o-mini,CQ7,105,2,0.6,10,10,0,292,527,1,0,0,1,0.0,0.0,
gpt-4o-mini,CQ7,105,2,0.65,10,10,0,292,527,1,0,0,1,0.0,0.0,
gpt-4o-mini,CQ9,94,2,0.45,10,10,0,224,404,1,0,0,1,0.0,0.0,
gpt-4o-mini,CQ9,94,2,0.5,10,10,0,224,404,1,0,0,1,0.0,0.0,
gpt-4o-mini,CQ9,94,2,0.55,10,10,0,224,404,1,0,0,1,0.0,0.0,
gpt-4o-mini,CQ9,94,2,0.6,10,10,0,224,404,1,0,0,1,0.0,0.0,
gpt-4o-mini,CQ9,94,2,0.65,10,10,0,224,404,1,0,0,1,0.0,0.0,
mixtral8x7b,CQ1,95,2,0.45,10,10,5,129,132,4,4,0,0,1.0,1.0,
mixtral8x7b,CQ1,95,2,0.5,10,10,0,129,132,4,4,0,0,1.0,1.0,
mixtral8x7b,CQ1,95,2,0.55,10,10,0,129,132,4,4,0,0,1.0,1.0,
mixtral8x7b,CQ1,95,2,0.6,10,10,0,129,132,4,4,0,0,1.0,1.0,
mixtral8x7b,CQ1,95,2,0.65,10,10,0,129,132,4,4,0,0,1.0,1.0,
mixtral8x7b,CQ3,90,2,0.45,10,10,0,34,25,1,0,0,1,0.0,0.0,
mixtral8x7b,CQ3,90,2,0.5,10,10,0,34,25,1,0,0,1,0.0,0.0,
mixtral8x7b,CQ3,90,2,0.55,10,10,0,34,25,1,0,0,1,0.0,0.0,
mixtral8x7b,CQ3,90,2,0.6,10,10,0,34,25,1,0,0,1,0.0,0.0,
mixtral8x7b,CQ3,90,2,0.65,10,10,0,34,25,1,0,0,1,0.0,0.0,
mixtral8x7b,CQ7,105,2,0.45,10,10,1,126,136,9,9,0,0,1.0,1.0,
mixtral8x7b,CQ7,105,2,0.5,10,10,1,126,136,8,8,0,0,1.0,1.0,
mixtral8x7b,CQ7,105,2,0.55,10,10,0,126,136,9,7,0,2,0.7778,0.7778,
mixtral8x7b,CQ7,105,2,0.6,10,10,0,126,136,9,7,0,2,0.7778,0.7778,
mixtral8x7b,CQ7,105,2,0.65,10,10,0,126,136,8,8,0,0,1.0,1.0,
mixtral8x7b,CQ9,94,2,0.45,10,10,1,118,137,1,0,0,1,0.0,0.0,
mixtral8x7b,CQ9,94,2,0.5,10,10,0,118,137,1,0,0,1,0.0,0.0,
mixtral8x7b,CQ9,94,2,0.55,10,10,0,118,137,1,0,0,1,0.0,0.0,
mixtral8x7b,CQ9,94,2,0.6,10,10,0,118,137,1,0,0,1,0.0,0.0,
mixtral8x7b,CQ9,94,2,0.65,10,10,0,118,137,1,0,0,1,0.0,0.0,
