graph,query_id,query_length,hops,threshold,min_k,n_seed_nodes,n_above_threshold,subgraph_nodes,subgraph_edges,total_claims,supported,partial,unsupported,gf_strict,gf_weighted,parse_error
gpt-4o-mini,CQ1,107,2,0.45,10,10,4,274,502,4,2,1,1,0.5,0.625,
gpt-4o-mini,CQ1,107,2,0.5,10,10,1,274,502,4,3,1,0,0.75,0.875,
gpt-4o-mini,CQ1,107,2,0.55,10,10,0,274,502,4,3,1,0,0.75,0.875,
gpt-4o-mini,CQ1,107,2,0.6,10,10,0,274,502,4,3,1,0,0.75,0.875,
gpt-4o-mini,CQ1,107,2,0.65,10,10,0,274,502,3,2,1,0,0.6667,0.8333,
gpt-4o-mini,CQ3,88,2,0.45,10,10,0,147,220,4,2,1,1,0.5,0.625,
gpt-4o-mini,CQ3,88,2,0.5,10,10,0,147,220,4,2,1,1,0.5,0.625,
gpt-4o-mini,CQ3,88,2,0.55,10,10,0,147,220,4,2,1,1,0.5,0.625,
gpt-4o-mini,CQ3,88,2,0.6,10,10,0,147,220,3,2,1,0,0.6667,0.8333,
gpt-4o-mini,CQ3,88,2,0.65,10,10,0,147,220,3,2,1,0,0.6667,0.8333,
gpt-4o-mini,CQ7,110,2,0.45,10,13,13,308,545,50,14,0,36,0.28,0.28,
gpt-4o-mini,CQ7,110,2,0.5,10,10,5,246,458,28,20,0,8,0.7143,0.7143,
gpt-4o-mini,CQ7,110,2,0.55,10,10,1,246,458,30,20,0,10,0.6667,0.6667,
gpt-4o-mini,CQ7,110,2,0.6,10,10,0,246,458,25,14,6,5,0.56,0.68,
gpt-4o-mini,CQ7,110,2,0.65,10,10,0,246,458,32,32,0,0,1.0,1.0,
gpt-4o-mini,CQ9,100,2,0.45,10,10,1,243,421,1,0,0,1,0.0,0.0,
gpt-4o-mini,CQ9,100,2,0.5,10,10,0,243,421,1,0,0,1,0.0,0.0,
gpt-4o-mini,CQ9,100,2,0.55,10,10,0,243,421,1,0,0,1,0.0,0.0,
gpt-4o-mini,CQ9,100,2,0.6,10,10,0,243,421,1,0,0,1,0.0,0.0,
gpt-4o-mini,CQ9,100,2,0.65,10,10,0,243,421,1,0,0,1,0.0,0.0,
mixtral8x7b,CQ1,107,2,0.45,10,10,7,63,59,5,5,0,0,1.0,1.0,
mixtral8x7b,CQ1,107,2,0.5,10,10,1,63,59,4,4,0,0,1.0,1.0,
mixtral8x7b,CQ1,107,2,0.55,10,10,1,63,59,4,3,1,0,0.75,0.875,
mixtral8x7b,CQ1,107,2,0.6,10,10,1,63,59,4,4,0,0,1.0,1.0,
mixtral8x7b,CQ1,107,2,0.65,10,10,1,63,59,5,5,0,0,1.0,1.0,
mixtral8x7b,CQ3,88,2,0.45,10,10,0,26,18,1,0,0,1,0.0,0.0,
mixtral8x7b,CQ3,88,2,0.5,10,10,0,26,18,1,0,0,1,0.0,0.0,
mixtral8x7b,CQ3,88,2,0.55,10,10,0,26,18,1,0,0,1,0.0,0.0,
mixtral8x7b,CQ3,88,2,0.6,10,10,0,26,18,1,0,0,1,0.0,0.0,
mixtral8x7b,CQ3,88,2,0.65,10,10,0,26,18,1,0,0,1,0.0,0.0,
mixtral8x7b,CQ7,110,2,0.45,10,19,19,196,204,12,9,3,0,0.75,0.875,
mixtral8x7b,CQ7,110,2,0.5,10,10,9,53,46,1,0,0,1,0.0,0.0,
mixtral8x7b,CQ7,110,2,0.55,10,10,4,53,46,1,0,0,1,0.0,0.0,
mixtral8x7b,CQ7,110,2,0.6,10,10,0,53,46,1,0,0,1,0.0,0.0,
mixtral8x7b,CQ7,110,2,0.65,10,10,0,53,46,1,0,0,1,0.0,0.0,
mixtral8x7b,CQ9,100,2,0.45,10,10,3,90,97,1,0,0,1,0.0,0.0,
mixtral8x7b,CQ9,100,2,0.5,10,10,1,90,97,1,0,0,1,0.0,0.0,
mixtral8x7b,CQ9,100,2,0.55,10,10,1,90,97,1,0,0,1,0.0,0.0,
mixtral8x7b,CQ9,100,2,0.6,10,10,0,90,97,1,0,0,1,0.0,0.0,
mixtral8x7b,CQ9,100,2,0.65,10,10,0,90,97,1,0,0,1,0.0,0.0,
